,date,Q,H,Q_ssa,H_ssa
3373,27/3/2017,1240.0,245.0,-32.47589090019092,-3.315202738148887
3374,28/3/2017,1320.0,255.0,-59.51719925062596,-6.811789400824841
3375,29/3/2017,1480.0,275.0,-74.72610590376556,-8.89372129850711
3376,30/3/2017,1520.0,281.0,-77.58603921663772,-9.454067201618274
3377,31/3/2017,1530.0,281.0,-69.50745976299376,-8.675077168043325
3378,1/4/2017,1510.0,279.0,-52.68852629255592,-6.754882044044895
3379,2/4/2017,1700.0,302.0,-29.849721268320927,-4.01238457788398
3380,3/4/2017,1720.0,305.0,-8.66553752907623,-1.366472659121126
3381,4/4/2017,1730.0,307.0,10.380192156352111,1.1168513384716487
3382,5/4/2017,1760.0,309.0,28.476223535211624,3.5416514055897084
3383,6/4/2017,1700.0,302.0,44.657911394801886,5.726691827759273
3384,7/4/2017,1700.0,302.0,59.39803859287715,7.627701941143407
3385,8/4/2017,1870.0,324.0,70.79660156501092,8.998479523657975
3386,9/4/2017,1970.0,336.0,72.5051320430673,9.127017031464902
3387,10/4/2017,2050.0,346.0,60.112838326173076,7.58236411189247
3388,11/4/2017,1910.0,329.0,30.721206046123655,4.001578144439366
3389,12/4/2017,1980.0,337.0,-8.575249171244078,-0.7865179173896353
3390,13/4/2017,1860.0,322.0,-50.379060833215576,-5.824952561901703
3391,14/4/2017,1900.0,328.0,-83.49221241018455,-9.828220818980226
3392,15/4/2017,2080.0,351.0,-102.31664446390806,-12.222433641153115
3393,16/4/2017,1910.0,329.0,-105.18071372819969,-12.765710854758467
3394,17/4/2017,1610.0,291.0,-84.40794386449309,-10.432551527328172
3395,18/4/2017,1910.0,328.0,-34.89485591200403,-4.548822085598794
3396,19/4/2017,2320.0,379.0,28.994592981343782,3.203948153083457
3397,20/4/2017,2360.0,384.0,87.31906382824855,10.42752754034338
3398,21/4/2017,2470.0,397.0,128.70873224602457,15.70089702744527
3399,22/4/2017,2580.0,410.0,144.3127831645859,17.901662711800867
3400,23/4/2017,2270.0,373.0,130.15025808128735,16.470417946917152
3401,24/4/2017,2070.0,349.0,98.44593444843048,12.784334563586569
3402,25/4/2017,2220.0,367.0,61.97043895024154,8.35450860371285
3403,26/4/2017,2280.0,375.0,25.295173180625863,3.8103325386488103
3404,27/4/2017,2350.0,383.0,-7.770199264957007,-0.35782265078390085
3405,28/4/2017,2460.0,396.0,-35.750632731912816,-3.908682212368801
3406,29/4/2017,2460.0,396.0,-59.29968701422095,-6.877539945938869
3407,30/4/2017,2440.0,393.0,-76.64965592808065,-9.029220158372276
3408,1/5/2017,2320.0,379.0,-85.94584397369255,-10.15047406865326
3409,2/5/2017,2110.0,353.0,-83.26362531058228,-9.812024621508744
3410,3/5/2017,2110.0,353.0,-64.31320227632185,-7.547578495410045
3411,4/5/2017,2530.0,405.0,-31.174730012083575,-3.616501107200832
3412,5/5/2017,2720.0,425.0,0.829694939619813,0.12657232419320708
3413,6/5/2017,2770.0,431.0,21.614673838123746,2.535047338206001
3414,7/5/2017,2660.0,419.0,30.012021809332396,3.560144562628139
3415,8/5/2017,2540.0,405.0,31.02882668034555,3.8466672495642187
3416,9/5/2017,2510.0,402.0,27.37334155632557,3.6479133228753895
3417,10/5/2017,2630.0,415.0,18.87521591449907,2.8373009606999524
